slang,formal,in_dictionary,context,categories
woww,wow,True,wow,['elongasi']
aminn,amin,True,"Selamat ulang tahun kakak tulus semoga panjang umur kakak,sehat selalu juga,murah rezeki ya kakak dan jangan sombong kalo sukses di karirnya aminn @tulusm",['elongasi']
met,selamat,True,Met hari netaas kak!? Wish you all the best @tulusm,['abreviasi']
netaas,menetas,True,Met hari netaas kak!? Wish you all the best @tulusm,"['afiksasi', 'elongasi']"
keberpa,keberapa,False,Birthday yg keberpa kak?,['abreviasi']
eeeehhhh,eh,True,Eh ada @ghessawarsana . Eeeehhhh,['elongasi']
kata2nyaaa,kata-katanya,False,Kata2nyaaa ?,"['reduplikasi', 'elongasi']"
hallo,halo,True,Hallo kakak tulus,['elongasi']
kaka,kakak,True,Ngefans banget sama kaka? sukses selalu ka? @tulusm,['zeroisasi']
ka,kak,True,Ngefans banget sama kaka? sukses selalu ka? @tulusm,['zeroisasi']
daah,dah,True,Senyumnya bikin aku meleleh daah?? @tulusm,['elongasi']
aaaaahhhh,ah,True,"Aaaaahhhh @tulusm ,aku suka banget sama pria ini yaa Allah....??",['elongasi']
yaa,ya,True,"Aaaaahhhh @tulusm ,aku suka banget sama pria ini yaa Allah....??",['elongasi']
smga,semoga,True,"Udo @tulusm happy milad ya..?? smga diberi kesehatan, kebaikan dan sukses slalu. amiin.",['abreviasi']
slalu,selalu,True,"Udo @tulusm happy milad ya..?? smga diberi kesehatan, kebaikan dan sukses slalu. amiin.",['zeroisasi']
amiin,amin,True,"Udo @tulusm happy milad ya..?? smga diberi kesehatan, kebaikan dan sukses slalu. amiin.",['elongasi']
kk,kakak,True,hiii kk ganteng..I realy love you somuch..sukses trus ya kk..,['abreviasi']
trus,terus,True,hiii kk ganteng..I realy love you somuch..sukses trus ya kk..,['zeroisasi']
kk,kakak,True,hiii kk ganteng..I realy love you somuch..sukses trus ya kk..,['abreviasi']
sii,sih,True,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,"['zeroisasi', 'elongasi']"
nyenengin,menyenangkan,True,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,['afiksasi']
bgt,banget,True,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,['abreviasi']
gemess,gemas,True,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,['modifikasi vokal']
akuuu,aku,True,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,['elongasi']
jgn,jangan,True,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,['abreviasi']
yaa,ya,True,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,['elongasi']
udah,sudah,True,Mas tulus kenapa sii.. Orangnya nyenengin bgt. Gemess akuuu .. Love You mas @tulusm . jgn kurus yaa.. Udah gitu aja ganteng gemesiin. Menyenangkn dan smart .much,['zeroisasi']
